cislo,JMENO,energie,normstr
654,kaše instantní,0.0,5
655,rajčata,0.0,10
656,ředkvičky,0.0,10
657,papriky,0.0,10
658,kedlubny,0.0,10
774,piškoty,0.0,10
775,sušenky,0.0,10
776,zákusky,0.0,10
777,zahradnický řízek,0.0,10
778,salát rajčatový s vejci,0.0,10
814,banány,0.0,10
815,broskve,0.0,10
816,nektarinky,0.0,10
817,hrušky,0.0,10
819,jablka,0.0,10
822,kiwi,0.0,10
827,kompot 700g-820g,0.0,10
834,mandarinky,0.0,10
835,meloun,0.0,10
836,meruňky,0.0,10
838,pomeranče,0.0,10
843,ryngle,0.0,10
844,švestky,0.0,10
846,vino hroznové,0.0,10
911,vepřové maso na houbách,0.0,10
956,šunka 30g,0.0,10
957,šunka 50g,0.0,10
965,termix,0.0,10
979,moravský vrabec,0.0,10
980,polárkový dort,0.0,10
983,jogurt,0.0,10
987,rybí file zapečené se sýrem,0.0,10
988,přesnídávky,0.0,10
989,vepřové ražniči,0.0,10
990,pitíčko,0.0,10
991,minerálka,0.0,10
992,pomazánkové máslo,0.0,10
993,džem porce,0.0,10
997,mléko ochucené krabička,0.0,10
1017,máslo 10 g,0.0,10
1019,máslo 20 g,0.0,10
1033,rohlíky 2ks,0.0,10
1034,rybí file na bylinkách,0.0,10
1035,housky 2,0.0,10
1036,housky 3,0.0,10
1037,kuřecí stehna smažená,0.0,10
1038,koláče 2ks,0.0,10
1039,pomazánka mrkvová,0.0,10
1040,játra smažená,0.0,10
1041,hranolky,0.0,10
1042,rohlíky 1ks,0.0,10
1043,sýr troj,0.0,10
1044,vánočka 1/3,0.0,9
1045,vánočka 1/4,0.0,8
1046,paštiky 48g,0.0,10
1047,paštiky 100g,0.0,10
1048,čaj viatex,0.0,10
1049,salám 50g,0.0,10
1050,kapučino,0.0,10
1051,káva karo,0.0,10
1052,kakao granko,0.0,10
1053,kakao obyčejné,0.0,10
1055,cukr na patra,0.0,20
1056,salám 30g,0.0,10
1057,chléb 6,0.0,6
1058,chléb 9,0.0,9
1059,hermelín 1,0.0,10
1060,koláč švestkový s mákem,0.0,10
1061,hermelín 1/2,0.0,10
1062,eidam 30,0.0,10
1063,eidam 50,0.0,10
1065,zelenina grilovaná,0.0,10
1066,lučina 1ks,0.0,10
1067,piškotová roláda,0.0,10
1069,šátečky 2ks,0.0,10
1070,pudink se šlehačkou,0.0,10
1071,šátečky 1 ks,0.0,10
1073,makový závin 1/3 ks,0.0,9
1074,makový závin 1/4 ks,0.0,10
1075,vinná klobása 150,0.0,10
1076,vepřové maso plovdivské,0.0,10
1077,paštika krájená 150g,0.0,10
1078,paštika krájená 100g,0.0,10
1079,rybí file přírodní,0.0,10
1080,pizza,0.0,10
1081,máslo porce 1,0.0,10
1082,máslo porce 2,0.0,10
1083,vepřové žebírko srbské,0.0,10
1084,párky 100g s hořčicí,0.0,10
1562,káva melta,0.0,10
3001,polévka hovězí s masem a těstovinami,0.0,10
3003,polévka bramborová,0.0,10
3005,polévka bramborová s krupkami,0.0,10
3006,polévka celerová,0.0,10
3007,polévka česnečka,0.0,10
3008,polévka čočková,0.0,10
3009,polévka krupicová s vejcem,0.0,10
3010,polévka s kapustou a rýží,0.0,10
3011,polévka drožďová,0.0,10
3012,polévka drštková,0.0,10
3013,polévka drůbková,0.0,10
3014,polévka fazolová,0.0,10
3015,polévka frankfurtská,0.0,10
3016,polévka gulášová,0.0,10
3017,polévka houbová,0.0,10
3018,polévka hrachová,0.0,10
3019,polévka hrstková,0.0,10
3020,polévka chlebová,0.0,10
3022,polévka kapustová,0.0,10
3023,polévka kmínová,0.0,10
3024,polévka kroupová,0.0,10
3025,polévka květáková,0.0,10
3027,polévka masová ragů,0.0,10
3030,polévka pórková,0.0,10
3031,polévka rajská s těstovinou,0.0,10
3033,polévka rýžová bílá,0.0,10
3034,polévka selská,0.0,10
3035,polévka slepičí,0.0,10
3039,polévka vločková,0.0,10
3040,polévka zeleninová,0.0,10
3042,polévka zelnačka,0.0,10
3045,polévka s kapáním,0.0,10
3046,polévka s játr.knedlíčky,0.0,10
3052,polévka se strouháním,0.0,10
3055,guláš debrecínský,0.0,10
3056,guláš hovězí,0.0,10
3058,hovězí maso dušené v kapustě,0.0,10
3059,hovězí svíčková,0.0,10
3061,hovězí pečeně přírodní-na pepři-zázvoru,0.0,10
3062,hovězí pečeně cikánská,0.0,10
3063,hovězí pečeně frankfurtská,0.0,10
3064,hovězí pečeně na zelenině,0.0,10
3065,hovězí pečeně štěpánská,0.0,10
3066,hovězí závitek-španělský ptáček,0.0,10
3069,hovezi zavitek plneny vejcem,0.0,10
3070,roštěná na paprice,0.0,10
3071,roštěná přírodní,0.0,10
3072,roštěná znojemská,0.0,10
3075,vepřové dušené na paprice,0.0,10
3078,telecí pečeně,0.0,10
3082,telecí žebírko na másle,0.0,10
3083,rizoto z vepřového masa,0.0,10
3084,vepřová pečeně,0.0,10
3085,vepřová pečeně selská,0.0,10
3087,vepřové maso dušené v kapustě,0.0,10
3088,vepřové maso dušené v kedlubnách,0.0,10
3089,vepřové maso dušené v mrkvi,0.0,10
3090,vepřové maso na kmíně,0.0,10
3091,vepřové maso uzené s kostí,0.0,10
3092,vepřové žebírko smažené,0.0,10
3093,vepřový bůček nadívaný,0.0,10
3094,vepřový guláš,0.0,10
3095,vepřový guláš segedínský,0.0,10
3096,vepřový kotlet přírodní,0.0,10
3097,vepřová roláda,0.0,10
3098,vepřový řízek smažený,0.0,10
3099,holanský řízek,0.0,10
3106,jaternicový prejt,0.0,10
3107,čevabčiči,0.0,10
3108,karbanátky smažené,0.0,10
3109,klopsy s hráškem,0.0,10
3114,papriky plněné,0.0,10
3115,plněné zelí na slanině,0.0,10
3116,sekaná pečeně,0.0,10
3117,sekaná se sojou,0.0,10
3119,mletý řízek máslový,0.0,10
3121,játra na slanině,0.0,10
3123,játra drůbeží dušená,0.0,10
3125,hovězí s polskou omáčkou,0.0,10
3132,srdce na slanině,0.0,10
3134,párky 150g s hořčicí,0.0,10
3135,salám opečený,0.0,10
3136,salám smažený,0.0,10
3138,tlačenka s cibulí 150g,0.0,10
3139,vuřty,0.0,10
3148,rizoto z kuřecího masa,0.0,10
3149,slepice na paprice,0.0,10
3155,rybí filé smažené,0.0,10
3158,koprová omáčka,0.0,10
3159,rajská omáčka,0.0,10
3164,okurková omáčka,0.0,10
3166,pórková omáčka,0.0,10
3168,křenová omáčka,0.0,10
3169,brambory zapečené se salámem,0.0,10
3170,bramborový guláš,0.0,10
3172,bramborové knedlíky plněné uzeným masem,0.0,10
3175,těstoviny zapečené s masem,0.0,10
3176,těstoviny zapečené se salámem,0.0,10
3177,bramborák smažený,0.0,10
3178,bramborové knedlíky s cibulkou,0.0,10
3181,čočka na kyselo,0.0,10
3185,hrách vařený se slaninou,0.0,10
3186,knedlíky s vejci,0.0,10
3187,brambory nové s tvarohem,0.0,10
3188,buchtičky dukátové s krémem,0.0,10
3189,polévka kulajda,0.0,10
3191,kaše  krupicová,0.0,10
3192,kaše rýžová,0.0,10
3193,knedlíky kynuté s povidly,0.0,10
3194,puding,0.0,10
3196,nákyp krupicový,0.0,10
3198,nákyp rýžový s ovocem - kompotem,0.0,10
3199,palačinky se zavařeninou,0.0,10
3201,bramborové šišky s houskou a máslem,0.0,10
3202,škubánky s mákem,0.0,10
3204,těstoviny s mákem -tvarohem,0.0,10
3205,špagety se sýrem,0.0,10
3206,žemlovka jablková,0.0,10
3207,žemlovka tvarohová,0.0,10
3208,kuřecí maso v sýrové omáčce,0.0,10
3210,kapusta dušená se salámem,0.0,10
3211,karbanátky kapustové,0.0,10
3212,květák smažený,0.0,10
3214,květákový mozeček,0.0,10
3215,zeleninové lečo s uzeninou,0.0,10
3216,mrkev dušená,0.0,10
3218,špenát dušený,0.0,10
3222,rizoto zeleninové,0.0,10
3224,zelí hlávkové dušené,0.0,10
3225,zelí kyselé dušené,0.0,10
3226,salát hlávkový,0.0,10
3227,salát okurkový,0.0,10
3228,salát mrkvový,0.0,10
3230,salát z hlávkového zelí,0.0,10
3231,salát z kyselého zelí,0.0,10
3232,salát z rajčat,0.0,10
3233,majoneza základní,0.0,10
3235,obložený chléb 1,0.0,10
3236,obložený chléb 2,0.0,10
3237,studená mísa,0.0,10
3238,studená mísa 2,0.0,10
3239,topinky,0.0,10
3241,pomazánka drožďová,0.0,10
3242,pomazánka turistická,0.0,10
3243,pomazánka salámová,0.0,10
3244,pomazánka sýrová,0.0,10
3245,pomazánka tvarohová,0.0,10
3246,pomazánka vaječná,0.0,10
3247,pomazánka z tuňáka,0.0,10
3248,bramborová kaše,0.0,10
3249,bramborové placky,0.0,10
3250,bramborový salát s majonézou,0.0,10
3252,bramborové knedlíky z prášku,0.0,10
3254,brambory vařené,0.0,10
3255,houskové knedlíky s práškem,0.0,10
3256,houskové knedlíky s droždím,0.0,10
3257,hrachová kaše s cibulkou,0.0,10
3258,kaše nastavovaná s cibulkou,0.0,10
3260,těstoviny,0.0,10
3261,bábovka kynutá,0.0,10
3262,bábovka třená,0.0,10
3263,těstoviny-zavářka,0.0,10
3264,rýže dušená,0.0,10
3265,bublanina,0.0,10
3266,buchty,0.0,10
3267,bochánky,0.0,10
3270,buchta na plech s kakaovou polevou,0.0,10
3271,jidáše,0.0,10
3272,koblihy,0.0,10
3273,koláč tvarohový na plech,0.0,10
3274,koláče ovocné kynuté-moučník,0.0,10
3275,koláče rohové s drobenkou,0.0,10
3276,lívance,0.0,10
3277,koláč třený na plech,0.0,10
3278,mazanec,0.0,10
3279,náplň tvarohová,0.0,10
3280,náplň maková,0.0,10
3281,perník-moučník 1ks,0.0,10
3282,náplň povidlová,0.0,10
3293,šátečky tvarohové,0.0,10
3296,vánočka,0.0,10
3298,vdolečky smažené,0.0,10
3299,závin jablkový- moučník 1ks,0.0,10
3301,ostravské nudle,0.0,10
3302,perník domácí 4ks,0.0,10
3303,bratislavské vepřové plecko,0.0,10
3304,záhorácký závitek,0.0,10
3332,rošťáci,0.0,10
3333,"mléko 0,2",0.0,10
3334,"mléko 0,25",0.0,10
3335,"mléko 0,3",0.0,10
3336,kus kus,0.0,10
3337,sekaná drůbeží mražená,0.0,10
3338,okurka sterilovaná,0.0,10
3339,kuřecí maso na zelenině,0.0,10
3340,pomazánka paštiková,0.0,10
3341,polévka uzená s rýží,0.0,10
3342,polévka s krupicovymi noky,0.0,10
3343,knedliky houskove,0.0,10
3344,kuře na divoko,0.0,10
3345,polevka krkonoska cibulacka,0.0,10
3346,vepřová kýta hamburská,0.0,10
3347,polévka žampionový krém,0.0,10
3348,rybí file na rajčatech,0.0,10
3349,tvaroh šlehaný,0.0,10
3350,veky,0.0,10
3351,pudink s tvarohem,0.0,10
3352,salám s cibulí,0.0,10
3353,"zmrzlina,nanuky",0.0,10
3354,salát z čínského zelí,0.0,10
3355,rybí prsty,0.0,10
3356,koktejl mléčný jahodový kompot,0.0,10
3357,kuřecí maso na hořčici,0.0,10
3358,sýr tavený 50g,0.0,10
3359,sýr tavený 100g,0.0,10
3360,vejce vařené 1ks,0.0,10
3361,vejce míchaná 2ks,0.0,10
3362,tatarská omáčka z majonézy,0.0,10
3363,rizoto zeleninové- mražená zelenina,0.0,10
3364,zelenina sterilovaná,0.0,10
3365,koktejl mléčný banánový,0.0,10
3366,koktejl mléčný čokoládový,0.0,10
3368,tatarská omáčka ks,0.0,10
3369,brokolice zapečená se sýrem,0.0,10
3370,kuřecí stehna pečená,0.0,10
3371,uhlířina,0.0,10
3372,masové kuličky v rajské omáčce,0.0,10
3373,hovězí maso vařené,0.0,10
3374,závin jablkový lískové těsto-moučník 1ks,0.0,10
3375,knedlíky špekové,0.0,10
3376,vaječná omeleta se špenátem,0.0,10
3377,salát šopský 400G,0.0,10
3378,kompot 400g-600g,0.0,10
3379,kompot 2500g,0.0,10
3380,kompot 3500g,0.0,10
3381,kompot 350g,0.0,10
3382,čína z drůbežího masa,0.0,10
3383,čína z vepřového masa,0.0,10
3384,chlebová smaženka,0.0,10
3385,ledvinky na cibulce,0.0,10
3386,vepřové maso po sečuánsku,0.0,10
3387,brambory šťouchané,0.0,10
3388,vepřový plátek přírodní,0.0,10
3389,těstovinový salát se zeleninou,0.0,10
3390,halušky,0.0,10
3391,špagety po italsku,0.0,10
3392,vepřová kýta na paprice,0.0,10
3393,polévka s opraženou krupicí,0.0,10
10001,bábovka 1/4,0.0,8
10085,med porce,0.0,10
13208,těstoviny zapečené s houbama,0.0,10
13209,těstoviny s kuřecím masem a hlívou ústři,0.0,10
13210,kuře na způsob bažanta,0.0,10
13211,kuřecí nudličky s nivou,0.0,10
13212,portobello plněné mletým masem a sýrem,0.0,10
13213,lasagne s mletým masem a zeleninou,0.0,10
56569,cukrovinky,0.0,10
56570,polévka jáhlová,0.0,10
56571,polévka špenátová,0.0,10
56572,polévka holandská,0.0,10
56573,polévka kaldon,0.0,10
56574,hovězí pečeně po burguňsku,0.0,10
56575,polévka pohanková,0.0,10
56576,taštičky tvarohové,0.0,10
56577,polévka hrášková,0.0,10
56578,sýr smažený,0.0,10
56579,mrkvová šťáva,0.0,10
56580,kuřecí maso na rajčatech,0.0,10
56581,polévka ruský boršč,0.0,10
56583,koláč mřížkový,0.0,10
56584,žahour jahodový,0.0,10
56585,červená řepa,0.0,10
56586,uzené maso,0.0,10
56587,kuře s nádivkou,0.0,10
56588,fazolky na smetaně,0.0,10
56589,žampiony smažené,0.0,10
56590,hovězí na česneku,0.0,10
56591,myslivecká hovězí pečeně,0.0,10
56592,pomazánka škvarková,0.0,10
56593,vaječná tlačenka,0.0,10
56594,holanská omáčka,0.0,10
56595,zavářka - příloha,0.0,10
56596,fazolové lusky na slanině,0.0,10
56597,pomazánka z vepřových konzerv,0.0,10
56598,čaj na patra,0.0,10
56599,medové máslo,0.0,10
56600,hořčice,0.0,10
56601,dresing,0.0,10
56602,knedlíky ovocné tvarohové,0.0,10
56603,okurky salátové,0.0,10
56604,salát řecký,0.0,10
56605,dobrá voda,0.0,10
56606,kuřecí řízek smažený,0.0,10
56607,chlebíček obložený 20ks,0.0,20
56608,bramborový salát selský,0.0,10
56609,guláš drůbeží,0.0,10
56610,kuřecí řízek přírodní,0.0,10
56611,kuřecí nugetky na ledovém salátě,0.0,10
56612,zbojnická roláda,0.0,10
56613,vepřová plec na zelenině,0.0,10
56614,vepřové výpečky,0.0,10
56615,hovězí pečeně pražská,0.0,10
56616,hovězí pečeně znojemská,0.0,10
56617,kuře na roštu,0.0,10
56618,těstoviny s hříbkovou omáčkou a kuřecím,0.0,10
56619,brambory zapečené s rybím masem a špenát,0.0,10
56620,sekaná pečeně plněná,0.0,10
56621,polévka brokolicová,0.0,10
56622,játra restovaná,0.0,10
56623,ovocné želé se zakysanou smetanou,0.0,10
56624,houbový kuba,0.0,10
56625,palačinky zapečené s tvarohem,0.0,10
56626,rybí koktejl /z krabích tyčinek/,0.0,10
56627,kuřecí nugetky smažené na ledovém salátě,0.0,10
56628,ledvinky na smetaně,0.0,10
56629,fazole mexické s klobásou,0.0,10
56630,polévka rybí s krupicí,0.0,10
56631,kuřecí závitky,0.0,10
56632,kus kus s vepřovým masem,0.0,10
56633,těstoviny s tuňákem a zeleninou,0.0,10
56634,vepřový plátek zapečený s bramborem a sý,0.0,10
56635,vepřový perkelt,0.0,10
56636,těstovinový nákyp s tvarohem,0.0,10
56637,kefír,0.0,10
56638,nákyp  kus kus s kompotem,0.0,10
56639,obložená mísa,0.0,10
56640,čočkový salát s mozzarelou,0.0,10
56641,ruské vejce,0.0,10
56642,zelenina dušená,0.0,10
56643,králík na černo,0.0,10
56644,králík na cibuli a hořčici,0.0,10
56645,králík na másle,0.0,10
56646,rybí file po italsku,0.0,10
56647,bramborové šišky plněné mákem-polotovar,0.0,10
56648,závin jablkový lískové těsto 3ks,0.0,10
56649,závin tvarohový lískové těsto 3ks,0.0,10
56650,hovězí jazyk na víně,0.0,10
56651,ovarové koleno,0.0,10
56652,vaječná omeleta s párkem,0.0,10
56653,salát rajčatový s mozarelou,0.0,10
56654,kapr smažený,0.0,10
56655,polévka s vaječným svítkem,0.0,10
56656,kuře na paprice,0.0,10
56657,klobása 150g,0.0,10
56658,kuřecí plátek na paprice,0.0,10
56659,žemlovka jablková s tvarohem,0.0,10
56660,škvarkové placky,0.0,10
56661,salát míchaný,0.0,10
56662,knedlíky ovocné,0.0,10
56663,tousty šunkové,0.0,10
56664,Vepřová pečeně chorvatská,0.0,10
56665,Hovězí líčka na víně,0.0,10
56666,bulgur,0.0,10
56667,bulgur s tuňákem a ledovým salátem,0.0,10
56668,mexická kuřecí pánev,0.0,10
56669,taštičky tvarohové polotovar,0.0,10
56670,pomazánka z lučiny,0.0,10
56671,buřty na černém pivu,0.0,10
56672,kuře tří hořčic,0.0,10
56673,nádivka,0.0,10
56674,brokolice dušená,0.0,10
56675,těstoviny po italsku,0.0,10
56676,kapr po mlynářsku,0.0,10
56677,vaječná omeleta se zeleninou,0.0,10
56678,závin salámový,0.0,10
56679,kaše vločková,0.0,10
56680,spatzle s mákem,0.0,10
56681,spatzle s tvarohem,0.0,10
56682,spatzle vařené- příloha,0.0,10
56683,tortila s kuřecím masem,0.0,10
56684,bramborové knedlíky s vajíčkem,0.0,10
56686,sekaná svíčková,0.0,10
56687,CDS- vejce,0.0,10
56688,CDS- mouka hladká,0.0,10
56689,CDS- mléko,0.0,10
56690,CDS- cukr krupice,0.0,10
56691,CDS- cukr moučka,0.0,10
57258,ovocný salát s čínským zelím,0.0,10
57259,bulgur s kukuřicí a hlívou ústřičnou,0.0,10
57260,čínské zelí s tuňákem a vajíčkem,0.0,10
57261,hermelín smažený,0.0,10
57262,zeleninové lečo,0.0,10
57263,bramborové krucánky,0.0,10
57264,rizoto srbské,0.0,10
57265,halušky mražené,0.0,10
57266,těstovinové nudle se špenátem,0.0,10
57267,husarská roláda,0.0,10
57268,hovězí pečeně po zahradnicku,0.0,10
57269,kachní stehna pečená,0.0,10
57270,sýrová omáčka,0.0,10
57271,jednohubky20ks,0.0,10
57272,koláč s ovocem a drobenkou,0.0,10
57273,spatzle se špenátem a smetanou,0.0,10
57274,vejce sázená  1ks,0.0,10
57275,kuře po horácku,0.0,10
57276,polevka jarni,0.0,10
57277,bulgur s kukurici a veprovym masem,0.0,10
57278,celer smazeny,0.0,10
57280,namornicke maso,0.0,10
57281,pastyzrsky rizek,0.0,10
57282,jatra drubezi na vine s mandlemi,0.0,10
57283,skoricove sisky,0.0,10
57284,polevka dynova,0.0,10
57285,kureci rolada,0.0,10
57286,polevka s masovymi knedlicky,0.0,10
57287,pomazanka z uzeneho masa,0.0,10
